dropout_rate,embedding_dim,learning_rate,lstm_units,val_accuracy
0.2,128,0.001,64,0.8675298690795898
0.2,128,0.001,128,0.9083665609359741
0.2,128,0.0005,64,0.8652888536453247
0.2,128,0.0005,128,0.8488546013832092
0.3,128,0.001,64,0.904631495475769
0.3,128,0.001,128,0.8680278658866882
0.3,128,0.0005,64,0.8745020031929016
0.3,128,0.0005,128,0.8675298690795898
